"zipcode1","avg_bad_days"
"98101",4.47619047619048
"98102",4.5
"98103",3.0126582278481
"98104",3.75
"98105",5.11904761904762
"98106",4.76923076923077
"98107",5.64705882352941
"98108",4.96
"98109",5.69230769230769
"98112",2.77272727272727
"98115",3.46534653465347
"98116",2
"98117",2.20689655172414
"98118",4.5
"98119",3.16666666666667
"98121",1.44444444444444
"98122",5.08
"98125",2.89230769230769
"98126",4.24
"98133",4.54716981132075
"98134",0
"98136",1.77777777777778
"98144",4.96875
"98146",3.41935483870968
"98177",2.39473684210526
"98178",3.83870967741935
"98195",2
"98199",5.16666666666667
