"zipcode1","avg_bmi"
"98101",27.4171428571429
"98102",24.676
"98103",25.1918181818182
"98104",26.05
"98105",24.8469230769231
"98106",29.1066666666667
"98107",26.9332258064516
"98108",28.3204
"98109",24.9703846153846
"98112",26.7792857142857
"98115",25.4703191489362
"98116",26.1320588235294
"98117",25.0108928571429
"98118",26.8783783783784
"98119",27.2790909090909
"98121",24.9011764705882
"98122",25.9814583333333
"98125",27.2546774193548
"98126",26.6290909090909
"98133",27.0695833333333
"98134",30.725
"98136",24.1033333333333
"98144",25.5471428571429
"98146",29.621
"98177",26.2954054054054
"98178",26.622
"98195",33.37
"98199",25.4474074074074
