"zipcode","pets_pc"
98101,2.01482914248872
98102,2.51386471278792
98103,3.12347961467354
98104,1.37170331612812
98105,1.44712272958751
98106,2.04999237921049
98107,3.6007217847769
98108,1.14775834921687
98109,2.49981482853122
98112,2.29773462783172
98115,3.01612871921278
98116,2.66599206040321
98117,3.78161261529307
98118,1.27991452991453
98119,2.47243968685093
98121,2.0587878051743
98122,2.42554333243896
98125,2.24003137024238
98126,2.26883561643836
98133,1.31018805538334
98134,0.947867298578199
98136,2.86604742116842
98144,1.85737439222042
98146,0.619857179106101
98164,3.1496062992126
98177,1.11943978696124
98178,0.348253235089263
98195,11.5384615384615
98199,3.0932594644506
