"GEO.id2","HD01_VD01"
"98101","68750"
"98102","83403"
"98103","91740"
"98104","37610"
"98105","56015"
"98106","62726"
"98107","83581"
"98108","55314"
"98109","95719"
"98112","110051"
"98115","100794"
"98116","100711"
"98117","102519"
"98118","62504"
"98119","85171"
"98121","94813"
"98122","72018"
"98125","61014"
"98126","73698"
"98133","60409"
"98134","58125"
"98136","97673"
"98144","71628"
"98146","61160"
"98154","-"
"98164","250,000+"
"98174","-"
"98177","100036"
"98178","72478"
"98195","-"
"98199","103309"
